transaction_id,account_type,amount,transaction_type,status,client
1,Credit,3153,Deposit,Failed,Sarah
2,Savings,2770,Deposit,Failed,John
3,Checking,661,Deposit,Completed,Sarah
4,Savings,1450,Deposit,Pending,Alice
5,Checking,4005,Transfer,Failed,Sarah
6,Credit,4047,Transfer,Pending,Kim
7,Checking,2977,Deposit,Failed,Sarah
8,Savings,3613,Withdrawal,Completed,Alice
9,Checking,4598,Deposit,Completed,John
10,Savings,3514,Deposit,Failed,Alice
11,Savings,206,Transfer,Failed,Sarah
12,Checking,3184,Withdrawal,Pending,Michael
13,Savings,978,Deposit,Failed,John
14,Checking,2495,Transfer,Failed,Kim
15,Savings,1710,Withdrawal,Pending,Sarah
16,Savings,102,Transfer,Completed,Alice
17,Savings,2185,Transfer,Completed,Alice
18,Checking,3997,Transfer,Completed,Sarah
19,Credit,838,Deposit,Failed,Alice
20,Checking,1184,Transfer,Failed,Michael
